[2025-05-13 16:31:46,017] 14 root -INFO -Initiate the data ingestion
[2025-05-13 16:31:53,628] 66 root -INFO -Performed train test split on the dataframe
[2025-05-13 16:31:53,628] 68 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-13 16:31:53,629] 76 root -INFO -Exporting train and test file path.
[2025-05-13 16:31:53,671] 85 root -INFO -Exported train and test file path.
[2025-05-13 16:31:53,671] 16 root -INFO -Data Initiation Completed
[2025-05-13 16:31:53,677] 20 root -INFO -Initiate the data validation
[2025-05-13 16:31:53,769] 41 root -INFO -Required number of columns:2
[2025-05-13 16:31:53,769] 42 root -INFO -Data frame has columns:31 
[2025-05-13 16:31:53,769] 41 root -INFO -Required number of columns:2
[2025-05-13 16:31:53,770] 42 root -INFO -Data frame has columns:31 
[2025-05-13 16:31:53,943] 22 root -INFO -Completed the data validation
[2025-05-13 16:31:53,944] 26 root -INFO -data transformation started
[2025-05-13 16:31:53,944] 58 root -INFO -Entered initiate_data_tranformation method of DataTranformation class
[2025-05-13 16:31:53,944] 60 root -INFO -Starting data transformation
[2025-05-13 16:31:53,965] 45 root -INFO -Entered get_data_transformaer_obj method of Transformation class 
[2025-05-13 16:31:53,965] 50 root -INFO -Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-13 16:31:53,973] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-05-13 16:31:53,975] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-05-13 16:31:53,976] 30 root -INFO -data transformation completed
[2025-05-13 16:31:53,976] 32 root -INFO -Model Trainng started
[2025-05-13 16:34:19,368] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-05-13 16:34:19,368] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-05-13 16:34:19,369] 105 root -INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_13_2025_16_31_44\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917054420392474, precision_score=0.9891041162227603, recall_score=0.9943204868154158), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9761036857027137, precision_score=0.9702093397745571, recall_score=0.9820700896495518))
