[2025-05-14 12:18:48,256] 14 root -INFO -Initiate the data ingestion
[2025-05-14 12:18:58,200] 66 root -INFO -Performed train test split on the dataframe
[2025-05-14 12:18:58,200] 68 root -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-14 12:18:58,200] 76 root -INFO -Exporting train and test file path.
[2025-05-14 12:18:58,239] 85 root -INFO -Exported train and test file path.
[2025-05-14 12:18:58,240] 16 root -INFO -Data Initiation Completed
[2025-05-14 12:18:58,243] 20 root -INFO -Initiate the data validation
[2025-05-14 12:18:58,338] 41 root -INFO -Required number of columns:2
[2025-05-14 12:18:58,338] 42 root -INFO -Data frame has columns:31 
[2025-05-14 12:18:58,338] 41 root -INFO -Required number of columns:2
[2025-05-14 12:18:58,339] 42 root -INFO -Data frame has columns:31 
[2025-05-14 12:18:58,504] 22 root -INFO -Completed the data validation
[2025-05-14 12:18:58,504] 26 root -INFO -data transformation started
[2025-05-14 12:18:58,504] 58 root -INFO -Entered initiate_data_tranformation method of DataTranformation class
[2025-05-14 12:18:58,504] 60 root -INFO -Starting data transformation
[2025-05-14 12:18:58,520] 45 root -INFO -Entered get_data_transformaer_obj method of Transformation class 
[2025-05-14 12:18:58,520] 50 root -INFO -Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-14 12:18:58,531] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-05-14 12:18:58,533] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-05-14 12:18:58,533] 30 root -INFO -data transformation completed
[2025-05-14 12:18:58,533] 32 root -INFO -Model Trainng started
[2025-05-14 12:21:33,496] 46 root -INFO -Entered the save_object method of MainUtils class
[2025-05-14 12:21:33,497] 50 root -INFO -Exited the save_object method of MainUtils class
[2025-05-14 12:21:33,497] 121 root -INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_14_2025_12_18_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911147011308562, precision_score=0.9891172914147521, recall_score=0.9931201942533388), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9738775510204082, precision_score=0.965991902834008, recall_score=0.9818930041152263))
